,Cand,party,num,cand_status
172,Нарматова Надира Азимовна,Ата-Журт Кыргызстан,8.0,True
173,Исаев Жаныбек Базаркулович,Ата-Журт Кыргызстан,19.0,True
174,Кабылов Жайлообек Элдиярович,Ата-Мекен,25.0,True
175,Толонов Чынберди Толонович,Ата-Журт Кыргызстан,37.0,True
176,Жамалов Шукурали Абдыкарович,Ата-Мекен,26.0,True
177,Култаева Гулшаркан Оконовна,Ата-Журт Кыргызстан,20.0,True
178,Газиева Неллифар Абдыжапаровна,Ата-Мекен,46.0,True
179,Нышанов Джайлообай Данибаевич,Ата-Журт Кыргызстан,9.0,True
180,Бекманбетов Фархад Шаршенович,Ата-Журт Кыргызстан,38.0,True
181,Бексултанов Ишенакун Абдилкариевич,Ата-Мекен,47.0,True
182,Зотова Анна Юрьевна,Ата-Мекен,52.0,True
183,Козуев Алишер Абибиллаевич,Ата-Журт Кыргызстан,39.0,True
184,Элеманов Абдималик Исмаилович,Ата-Мекен,54.0,True
185,Кадыров Кубанычбек Бекбосунович,Ата-Журт Кыргызстан,10.0,True
186,Молдалиева Шарийпа Токтоматовна,Ата-Журт Кыргызстан,40.0,True
187,Теңизбаев Камбарбек Асипбаевич,Ата-Мекен,48.0,True
188,Бирюкова Виктория Александровна,Ата-Мекен,45.0,True
189,Алиев Шаршеналы,Ата-Мекен,44.0,True
190,Темирланов Адилет Темирланович,Ата-Мекен,43.0,True
191,Авасканова Каныкей Солтоевна,Ата-Мекен,53.0,True
192,Бакир уулу Турсунбай,Ата-Журт Кыргызстан,15.0,True
193,Айдаров Керимбек Ташболотович,Ата-Мекен,51.0,True
194,Жапаров Гурас Дурболонович,Ата-Мекен,40.0,True
195,Аманалиев Баатырбек Кенешбекович,Ата-Журт Кыргызстан,41.0,True
196,Имаралиева Нурида Абдикеримовна,Ата-Мекен,39.0,True
197,Маматаев Улукбек Калмаматович,Ата-Мекен,38.0,True
198,Медербеков Тынчтык Муратбекович,Ата-Мекен,37.0,True
199,Эрмаматов Искендер Орунбаевич,Ата-Мекен,33.0,True
200,Жолдошова Элнура Иматиллаевна,Ата-Мекен,32.0,True
201,Мойдинов Каныбек Тажидинович,Ата-Мекен,29.0,True
202,Касымова Наргиза Бахтыяровна,Ата-Мекен,28.0,True
203,Турдалиев Уланбек Мамасыдыкович,Ата-Мекен,6.0,True
